studytime,failures,absences,G1,G2,attendance_pct,study_hours,engagement_score,final_score,pass,grade
3,2,22,13,9,50.0,15,19.25,43.59511748459528,0,F
4,3,3,12,11,92.82594344413303,8,27.60324293051663,56.95331789751906,0,C
1,2,17,19,13,58.94259035831062,3,16.367823794788826,64.193945350479,1,C
3,3,4,17,12,91.97071923040747,15,26.496339903800934,68.89628275412095,1,B
3,3,15,16,6,67.27099325206636,6,20.408874156508297,50.77885150486797,0,C
4,2,13,11,13,72.45441814379598,16,25.056802267974497,61.31643362653017,0,C
1,1,26,12,8,52.96733795049552,3,14.62091724381194,51.538458745237946,0,C
1,3,26,14,16,53.725522759977615,5,17.715690344997203,47.73387683345799,0,F
3,2,18,10,14,66.85174054898036,12,20.356467568622545,49.35634431355528,0,F
2,0,13,7,19,77.6600494839,6,20.7075061854875,69.38752007537744,1,B
3,2,8,11,15,81.94093159605764,9,27.242616449507203,53.21002248214781,0,C
3,0,5,8,9,87.67713565786742,9,21.95964195723343,61.12793718862916,0,C
3,3,16,15,16,62.115652130590746,15,20.764456516323843,60.598905503802925,0,C
3,2,18,14,15,69.07707272640914,9,20.634634090801143,64.01637436020592,1,C
4,2,11,18,9,82.92892982216603,16,29.366116227770753,68.37383605163079,1,B
1,0,3,9,8,93.22871827878348,5,22.653589784847934,69.33674932963558,1,B
4,2,15,12,17,71.64679291137075,12,23.955849113921346,57.850996110984624,0,C
4,2,24,19,10,50.0,16,20.25,59.32681911353592,0,C
4,3,10,11,5,77.20764203413547,20,23.650955254266933,50.2518592210034,0,C
3,2,21,11,6,55.36638470802083,9,17.920798088502604,44.87797538838116,0,F
2,1,3,12,8,94.73398199686181,4,25.841747749607727,71.88607425739987,1,B
1,0,16,14,8,74.33542771471764,2,15.291928464339705,65.90815670941794,1,B
2,2,7,7,12,87.73146171760706,6,22.966432714700883,55.42613002800506,0,C
4,0,13,7,13,73.87312396050893,8,26.234140495063617,67.10979784390781,1,B
4,0,26,6,16,50.0,20,25.25,62.27763264984489,1,C
2,0,1,19,8,98.43631275979965,6,25.304539094974956,81.52096050439985,1,A
2,2,10,5,10,82.99927999184068,8,21.374909998980087,55.28056002711649,0,C
2,2,10,14,8,78.72720542307576,4,22.84090067788447,51.25764662229391,0,C
4,0,23,10,8,58.499618922658364,12,21.312452365332295,59.18307715412019,0,C
4,1,21,10,16,50.471409711762426,20,25.308926213970302,61.421143093577896,0,C
1,0,23,17,15,62.293409297491316,3,16.786676162186414,78.02689997482555,1,B
1,1,5,14,16,87.68421238208029,4,19.960526547760036,86.14733357954049,1,A
4,0,20,16,13,51.752502169669455,16,20.469062771208684,65.57059534519968,1,B
2,3,20,12,18,52.24941887978558,6,16.5311773599732,51.878767066223986,0,C
2,0,13,18,8,78.25010245707558,6,18.781262807134446,74.55729299729633,1,B
1,0,29,10,17,50.0,3,18.25,57.73911120246001,0,C
4,2,9,10,10,79.26312841989825,12,29.90789105248728,51.3745545182007,0,C
1,1,25,5,18,50.0,5,13.25,43.71575291854603,0,F
1,3,26,16,17,50.0,3,17.25,48.11708038309918,0,F
3,1,7,11,13,86.36364382926374,15,27.795455478657967,75.25456593009135,1,B
3,3,6,11,7,89.13046437595938,9,26.141308046994922,63.11053605144545,1,C
3,0,7,14,11,82.7592944467279,15,21.344911805840987,76.7257536789165,1,B
2,2,27,13,11,55.73991871301466,8,21.967489839126834,55.93185003770874,0,C
4,2,7,18,5,89.1937215732663,8,26.14921519665829,73.84794239744637,1,B
4,1,22,19,15,66.79912856022305,12,25.34989107002788,71.50925097860298,1,B
4,2,1,16,6,97.7249730903663,12,31.215621636295786,64.73864034502152,1,C
4,1,26,11,9,59.52566620486477,16,25.440708275608095,56.377903468739156,0,C
3,1,15,12,12,69.42034593292132,6,20.677543241615165,54.85632087294075,0,C
2,3,8,8,10,85.06166047146158,8,19.632707558932697,61.91726566749067,1,C
2,1,12,13,18,80.23710531913352,8,20.02963816489169,81.1787215297466,1,A
3,3,22,19,18,50.70689928848152,9,20.33836241106019,65.18731995493576,1,B
2,2,11,18,17,82.89492485851672,6,20.36186560731459,66.95617895702699,1,B
3,1,26,5,17,52.72176019677824,12,19.59022002459728,51.07593310570144,0,C
4,1,21,12,11,56.69398426617809,12,23.08674803327226,56.80735057841718,0,C
3,0,24,7,19,54.34202263944995,9,19.792752829931246,64.30634609625864,1,C
4,1,28,18,19,50.7438504375424,12,24.3429813046928,67.98329353867122,1,B
4,1,16,5,7,61.183983924703256,8,24.647997990587907,32.16967568072841,0,F
1,0,26,6,10,50.0,2,13.25,47.755562550889884,0,F
3,0,1,19,13,98.08390546039077,9,30.260488182548848,100.0,1,A
1,2,12,10,7,77.27506699886297,4,20.65938337485787,61.80482460670268,1,C
3,1,0,9,18,100.0,6,27.5,79.67677960880972,1,B
3,2,25,18,17,50.0,12,23.25,62.36174044004639,1,C
1,2,27,7,17,50.0,5,16.25,40.99042231922746,0,F
1,0,18,13,17,71.38860016775581,5,17.923575020969476,73.96763589140606,1,B
